OTU ID,X101.10T1,X101.11T1,X101.12T1,X101.13T1,X101.14T1,X101.15T1,X101.1T1,X101.2T1,X101.3T1,X101.4T1,X101.5T1,X101.6T1,X101.7T1,X101.8T1,X101.9T1,C.10T1,C.11T1,C.12T1,C.13T1,C.14T1,C.15T1,C.1T1,C.2T1,C.3T1,C.4T1,C.5T1,C.6T1,C.7T1,C.8T1,C.9T1
Zotu573,1,1,1,0,2,1,0,33,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Zotu814,3,1,2,1,9,2,0,0,7,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
Zotu731,3,1,7,1,2,4,4,4,5,6,4,6,5,9,6,3,1,3,3,2,4,0,5,5,0,6,4,4,3,8
Zotu471,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,4,1,3,0,2,0,1,3
Zotu904,3,1,0,1,0,1,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Zotu434,2,2,0,0,0,0,0,0,0,0,0,8,2,1,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
Zotu403,1,1,11,7,7,1,6,18,2,1,0,2,3,9,7,3,3,2,0,3,4,4,3,2,3,5,3,0,1,6
Zotu364,13,20,5,13,8,9,20,7,7,50,2,6,14,8,22,3,5,10,25,4,11,4,20,30,14,23,7,0,2,25
Zotu134,3,1,0,0,0,1,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,4,0,1,0,1,0,4,2,1
Zotu326,10,7,3,0,0,0,0,0,0,0,2,61,0,1,13,1,6,59,5,3,0,0,0,1,0,1,37,3,1,0
Zotu581,4,2,32,0,4,42,0,11,1,0,0,12,44,3,10,2,0,0,0,0,6,2,0,0,0,0,13,0,0,0
Zotu321,3,0,3,12,4,1,1,0,6,1,4,1,7,2,3,7,6,3,3,0,0,0,1,1,0,2,1,1,4,4
Zotu200,2,4,15,1,2,5,3,6,15,19,12,2,12,5,26,3,0,2,0,2,5,23,0,0,6,3,1,4,6,0
Zotu427,5,1,2,2,16,1,5,5,2,5,2,1,1,1,5,5,0,7,23,2,11,3,20,18,32,25,10,10,5,34
Zotu835,3,0,0,0,0,0,1,0,0,1,1,2,1,2,2,1,3,2,26,4,2,1,6,3,8,15,4,10,4,13
Zotu725,2,0,1,5,3,1,1,1,3,5,0,5,1,5,1,4,0,4,25,0,7,0,12,7,0,23,55,1,1,14
Zotu505,1,0,0,1,23,2,2,2,0,4,1,3,0,0,0,4,6,6,3,7,2,7,40,1,39,1,14,11,6,0
Zotu378,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Zotu416,2,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0
Zotu871,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu135,7,1,5,8,0,3,2,0,5,7,20,1,3,0,6,2,1,1,1,33,20,4,4,1,27,3,1,31,19,1
Zotu570,2,2,0,1,2,0,0,1,2,2,2,0,2,0,1,0,2,7,4,2,2,2,0,1,12,1,2,2,8,0
Zotu905,5,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Zotu609,1,1,2,2,1,3,1,0,5,1,1,0,4,2,3,3,4,1,3,6,5,0,2,4,2,4,1,4,3,0
Zotu867,1,4,2,0,0,0,2,5,0,0,2,15,0,0,9,0,4,9,0,0,0,0,0,0,0,0,1,0,2,0
Zotu737,1,2,0,5,2,5,0,0,5,3,4,1,2,1,1,1,0,3,3,0,1,0,2,0,2,3,4,1,0,3
Zotu515,0,0,2,1,5,4,4,3,2,6,1,1,6,2,6,0,0,4,0,0,4,1,1,1,2,12,3,1,0,4
Zotu211,1,3,3,12,5,6,4,2,2,2,1,2,6,1,3,0,2,1,2,1,3,2,4,1,2,3,0,1,2,2
Zotu900,1,2,0,0,1,0,0,0,5,0,1,2,1,1,2,0,2,0,0,0,1,1,0,0,2,0,1,0,0,0
Zotu377,6,2,0,8,1,8,26,0,1,3,18,1,31,0,9,0,0,12,0,3,9,8,1,142,27,1,0,33,36,1
Zotu419,1,1,0,1,2,2,0,1,2,0,0,0,0,0,2,3,2,1,0,2,1,2,2,1,0,0,0,2,3,0
Zotu605,5,2,6,8,4,5,3,1,5,1,1,8,2,4,3,2,2,3,1,0,1,0,0,0,1,8,0,1,2,3
Zotu415,2,6,3,0,2,2,1,0,0,4,1,4,5,0,0,4,1,21,0,4,1,0,0,3,3,0,0,4,4,0
Zotu666,3,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,3,0,0,0,3,0,0,0,0
Zotu476,3,0,0,0,12,3,0,3,1,1,2,2,3,9,0,0,1,3,0,0,0,6,0,0,0,0,0,0,1,0
Zotu262,2,2,0,0,0,1,1,0,0,0,0,3,5,3,2,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0
Zotu921,5,6,1,3,0,3,6,2,1,10,1,2,3,2,12,3,3,3,13,4,10,1,5,8,7,8,1,7,2,7
Zotu468,5,0,0,6,3,2,4,0,2,0,2,1,3,2,3,0,3,4,1,2,0,3,12,3,9,7,5,4,6,7
Zotu949,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1
Zotu366,9,15,0,0,0,0,0,4,14,7,0,0,0,0,10,0,20,0,0,0,0,0,0,63,1,0,0,0,0,0
